form	lemma	POS	morph
༄༅། །		PUNCT
སྒ་	སྒ་	NOUN
རྗེ་	རྗེ་	NO_POS
ཁམས་	ཁམས་	NOUN
སྤྲུལ་	སྤྲུལ་	VERB
ལ་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
ཀྱི་	གི་	PART
མཆོག་གྱུར་	མཆོག་གྱུར་	ADJ
བླ་མ་	བླ་མ་	NOUN
རྗེའི་		NON_WORD
། །		PUNCT
ཞབས་	ཞབས་	NOUN
མཐིལ་	མཐིལ་	NOUN
སྤྱི་བོ་	སྤྱི་བོ་	NOUN
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
དུ་	ལ་	PART
བཀོད་	བཀོད་	VERB
། །		PUNCT
བསྟན་འཛིན་	བསྟན་འཛིན་	NOUN
སྐྱེས་མཆོག་	སྐྱེས་མཆོག་	NOUN
ཁྱེད་	ཁྱེད་	PRON
ཉིད་	ཉིད་	DET
ཀྱི་	གི་	PART
"།
།"		PUNCT
ཉམས་	ཉམས་	NOUN
བཞེས་	བཞེས་	VERB
གནད་བསྡུས་	གནད་བསྡུས་	OTHER
འབྲི་	འབྲི་	VERB
དགོས་པ་	དགོས་པ་	VERB
འི་	གི་	PART
། །		PUNCT
བཀའ་ལུང་	བཀའ་ལུང་	NOUN
ཕེབས་	ཕེབས་	NO_POS
ཀྱང་	ཀྱང་	PART
བདག་	བདག་	PRON
རང་	རང་	PRON
ལ་	ལ་	PART
། །		PUNCT
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
གདིང་	གདིང་	NO_POS
ཁེལ་	ཁེལ་	NO_POS
མ་	མ་	PART
མཆིས་	མཆིས་	VERB
སྟབས་	སྟབས་	NOUN
"།
།"		PUNCT
ཐུགས་བསྐྱེད་	ཐུགས་བསྐྱེད་	OTHER
འདོན་	འདོན་	VERB
འོ་	འོ་	VERB
མི་	མི་	PART
འདུག་	འདུག་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
དམ་པ་	དམ་པ་	VERB
འི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
ཅུང་ཟད་	ཅུང་ཟད་	ADV
བྲི་	བྲི་	NO_POS
། །		PUNCT
ཡིད་དཔྱོད་	ཡིད་དཔྱོད་	NO_POS
སེམས་	སེམས་	NOUN
ཀྱི་	གི་	PART
ཁང་བུ་	ཁང་བུ་	NOUN
བཤིག་	བཤིག་	VERB
།		PUNCT
གཞི་མེད་	གཞི་མེད་	ADJ
རྩ་	རྩ་	NUM
བྲལ་	བྲལ་	VERB
གཏན་འབེབས་	གཏན་འབེབས་	OTHER
ན་	ནས་	PART
། །		PUNCT
བློ་འདས་	བློ་འདས་	NO_POS
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
རིག་པ་	རིག་པ་	VERB
ནི་	ནི་	NO_POS
། །		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
མེད་	མེད་	VERB
ཅིང་	ཅིང་	PART
ངོས་བཟུང་	ངོས་བཟུང་	NOUN
བྲལ་	བྲལ་	VERB
"།
།"		PUNCT
གཏད་མེད་	གཏད་མེད་	NO_POS
ཟང་ཐལ་	ཟང་ཐལ་	OTHER
བཅང་	བཅང་	VERB
གྲོལ་	གྲོལ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
ཡོད་མེད་	ཡོད་མེད་	ADJ
རྟག་ཆད་	རྟག་ཆད་	NOUN
ལ་སོགས་པ་	ལ་སོགས་པ་	NO_POS
། །		PUNCT
མི་	མི་	PART
གནས་	གནས་	NOUN
མི་	མི་	PART
དམིགས་	དམིགས་	VERB
རིག་པ་	རིག་པ་	VERB
འདི་	འདི་	DET
"།
།"		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
