form	lemma	POS	morph
༄༅། །		PUNCT
ལྟ་	ལྟ་	NOUN
སྒོམ་	སྒོམ་	VERB
སྤྱོད་	སྤྱོད་	VERB
འབྲས་	འབྲས་	NOUN
ཀྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
"།

༄༅། །"		PUNCT
ལྟ་	ལྟ་	NOUN
སྒོམ་	སྒོམ་	VERB
སྤྱོད་	སྤྱོད་	VERB
འབྲས་	འབྲས་	NOUN
ཀྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ན་མོ་	ན་མོ་	X
མ་	མ་	PART
ཧཱ་		NON_WORD
གུ་རུ་	གུ་རུ་	PROPN
བུདྡྷ་		NON_WORD
ཡ་	ཡ་	NOUN
།		PUNCT
ཕྱི་	ཕྱི་	NOUN
ནང་	ནང་	NOUN
གསང་	གསང་	VERB
གསུམ་	གསུམ་	NUM
ཐེག་པ་	ཐེག་པ་	NOUN
འི་	གི་	PART
གྲུབ་མཐ་	གྲུབ་མཐའ་	NOUN
འི་	གི་	PART
ཁྱད་	ཁྱད་	NOUN
"།
།"		PUNCT
རྣམ་	རྣམ་	NOUN
མང་	མང་	VERB
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ཆུ་གཏེར་	ཆུ་གཏེར་	OTHER
བརྒལ་བ་	བརྒལ་བ་	VERB
འི་	གི་	PART
གནད་	གནད་	NOUN
། །		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
དགོངས་	དགོངས་	VERB
དོན་	དོན་	NOUN
གཅིག་ཆོག་	གཅིག་ཆོག་	ADJ
དེ་	སྟེ་	PART
"།
།"		PUNCT
རང་རིག་	རང་རིག་	NO_POS
བླ་མ་	བླ་མ་	NOUN
ཤེས་པ་	ཤེས་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རློབས་	རློབས་	VERB
། །		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
མ་	མ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
རྩ་	རྩ་	NUM
བྲལ་	བྲལ་	VERB
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
གཤིས་	གཤིས་	OTHER
། །		PUNCT
རྟོག་	རྟོག་	VERB
མེད་	མེད་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
མངོན་དུ་	མངོན་དུ་	NO_POS
གྱུར་	གྱུར་	VERB
"།
།"		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
ཤེས་རིག་	ཤེས་རིག་	NOUN
དམིགས་མེད་	དམིགས་མེད་	NO_POS
འཛིན་	འཛིན་	VERB
བྲལ་	བྲལ་	VERB
ངང་	ངང་	NOUN
། །		PUNCT
བསྒོམས་	བསྒོམས་	VERB
མེད་	མེད་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
དགོངས་པ་	དགོངས་པ་	VERB
ཀློང་	ཀློང་	NOUN
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
"།
།"		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
བརྟུལ་ཞུགས་	བརྟུལ་ཞུགས་	NOUN
ལམ་	གམ་	PART
དུ་	ལ་	PART
ཁྱེ་	ཁྱེ་	VERB
། །		PUNCT
སྣང་	སྣང་	VERB
སེམས་	སེམས་	NOUN
རོ་	རོ་	NOUN
གཅིག་	གཅིག་	NUM
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
སྤྱོད་པ་	སྤྱོད་པ་	VERB
ར་	ལ་	PART
ཤ་	ཤ་	VERB
"།
།"		PUNCT
འཁོར་འདས་	འཁོར་འདས་	NOUN
གཉིས་	གཉིས་	NUM
མེད་	མེད་	VERB
རེ་དོགས་	རེ་དོགས་	NOUN
བྲལ་བ་	བྲལ་བ་	VERB
འི་	གི་	PART
ངང་	ངང་	NOUN
། །		PUNCT
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
དོན་	དོན་	NOUN
གྱི་	གི་	PART
འབྲས་བུ་	འབྲས་བུ་	NOUN
མནོང་		NON_WORD
དུ་	ལ་	PART
གྱུར་	གྱུར་	VERB
། །		PUNCT
ཅེས་	ཅེས་	PART
སོ་	གོ་	PART
། །		PUNCT
མ་	མ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
རང་བྱུང་	རང་བྱུང་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
འི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
ནི་	ནི་	NO_POS
"།
།"		PUNCT
ཡང་	ཀྱང་	PART
ཅིག་	ཅིག་	PART
གསོན་	གསོན་	VERB
དང་	དང་	NO_POS
དད་	དད་	VERB
ལྡན་	ལྡན་	VERB
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
། །		PUNCT
མ་	མ་	PART
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
གནས་ལུགས་	གནས་ལུགས་	VERB
བརྟན་པ་	བརྟན་པ་	VERB
ཐོབ་པ་	ཐོབ་པ་	VERB
འི་	གི་	PART
དུས་	དུས་	NOUN
"།
།"		PUNCT
ལྟ་	ལྟ་	NOUN
ཡང་	ཀྱང་	PART
མི་	མི་	PART
དགོས་	དགོས་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
རང་བཞིན་	རང་བཞིན་	NOUN
འཆར་	འཆར་	NO_POS
། །		PUNCT
བསྒོམ་	བསྒོམ་	VERB
ཡང་	ཀྱང་	PART
མི་	མི་	PART
དགོས་	དགོས་	VERB
སེམས་ཉིད་	སེམས་ཉིད་	NOUN
རང་ས་	རང་ས་	OTHER
ར་	ལ་	PART
ཟིན་	ཟིན་	VERB
"།
།"		PUNCT
ཡེངས་	ཡེངས་	NO_POS
ཀྱང་	ཀྱང་	PART
མི་	མི་	PART
སྲིད་	སྲིད་	NOUN
རིག་པ་	རིག་པ་	VERB
རང་	རང་	PRON
ངོ་	ངོ་	PART
ར་	ལ་	PART
གནས་	གནས་	NOUN
། །		PUNCT
འགྱུ་བ་	འགྱུ་བ་	VERB
རང་	རང་	PRON
སངས་	སངས་	VERB
དྲན་	དྲན་	VERB
རིག་	རིག་	VERB
མཁའ་	མཁའ་	NOUN
ལྟ་	ལྟ་	OTHER
དག་	དག་	DET
།		PUNCT
བཅའ་	བཅའ་	VERB
བཅོ་	བཅོ་	NUM
ས་	གིས་	PART
མི་	མི་	PART
དགོས་	དགོས་	VERB
སྟོང་གསལ་	སྟོང་གསལ་	NO_POS
ངང་	ངང་	NOUN
ལ་	ལ་	PART
གནས་	གནས་	NOUN
"།
།"		PUNCT
རེ་དོགས་	རེ་དོགས་	NOUN
མི་	མི་	PART
དགོས་	དགོས་	VERB
འཁོར་འདས་	འཁོར་འདས་	NOUN
མཉམ་	མཉམ་	VERB
གྲོལ་	གྲོལ་	VERB
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
ཡང་	ཀྱང་	PART
ཅིག་	ཅིག་	PART
གསོན་	གསོན་	VERB
དང་	དང་	NO_POS
སློབ་མ་	སློབ་མ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
། །		PUNCT
ཡེ་གྲོལ་	ཡེ་གྲོལ་	NO_POS
སེམས་	སེམས་	NOUN
ལ་	ལ་	PART
མཚན་དཔེ་	མཚན་དཔེ་	NOUN
མེད་	མེད་	VERB
"།
།"		PUNCT
བལྟ་	བལྟ་	VERB
ཀྱང་	ཀྱང་	PART
མཐོང་	མཐོང་	VERB
མེད་	མེད་	VERB
སྟོང་པ་ཉིད་	སྟོང་པ་ཉིད་	NOUN
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
རིག་	རིག་	VERB
ཅིང་	ཅིང་	PART
གསལ་	གསལ་	VERB
། །		PUNCT
རིག་	རིག་	VERB
སྟོང་	སྟོང་	NUM
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
མཁའ་	མཁའ་	NOUN
ལྟ་	ལྟ་	OTHER
ཁྱབ་	ཁྱབ་	VERB
"།
།"		PUNCT
གཏད་མེད་	གཏད་མེད་	NO_POS
ཟང་ཐལ་	ཟང་ཐལ་	OTHER
འགྲོ་འོང་	འགྲོ་འོང་	NOUN
མེད་	མེད་	VERB
། །		PUNCT
མེད་	མེད་	VERB
ཀྱང་	ཀྱང་	PART
དྲན་	དྲན་	VERB
རིག་	རིག་	VERB
སྣ་ཚོགས་	སྣ་ཚོགས་	DET
འཆར་	འཆར་	NO_POS
། །		PUNCT
ཡོད་པ་	ཡོད་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
སྟོང་པ་	སྟོང་པ་	VERB
སོང་	སོང་	VERB
"།
།"		PUNCT
མེད་པ་	མེད་པ་	VERB
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
རང་རིག་	རང་རིག་	NO_POS
སྣང་	སྣང་	VERB
། །		PUNCT
སྣང་སྟོང་	སྣང་སྟོང་	NO_POS
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
རྩལ་	རྩལ་	NOUN
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
ཡེངས་	ཡེངས་	NO_POS
མེད་	མེད་	VERB
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
དང་	དང་	NO_POS
"།
།"		PUNCT
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
དགོངས་པ་	དགོངས་པ་	VERB
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
གཉིས་	གཉིས་	NUM
། །		PUNCT
དབྱེ་	དབྱེ་	VERB
ར་	ལ་	PART
མེད་	མེད་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
ངང་	ངང་	NOUN
དུ་	ལ་	PART
འདྲེ་	འདྲེ་	VERB
། །		PUNCT
སྟོང་ཉིད་	སྟོང་ཉིད་	NOUN
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
གཞི་	གཞི་	NOUN
རྩལ་	རྩལ་	NOUN
ན་	ནས་	PART
"།
།"		PUNCT
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
འོད་གསལ་	འོད་གསལ་	NOUN
ཤར་བ་	ཤར་བ་	VERB
འི་	གི་	PART
