form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
རྒྱང་འབོད་	རྒྱང་འབོད་	OTHER
ཀྱི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
ཐོལ་	ཐོལ་	ADV
གླུ་	གླུ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
		
།		PUNCT
ངོ་བོ་	ངོ་བོ་	NOUN
གདོད་	གདོད་	NO_POS
ན་	ནས་	PART
མི་	མི་	PART
འགྱུར་	འགྱུར་	VERB
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
གྱི་	གི་	PART
གཤིས་ལུགས་	གཤིས་ལུགས་	OTHER
།		PUNCT
		
།		PUNCT
ཀ་དག་	ཀ་དག་	OTHER
གཏིང་	གཏིང་	NOUN
གསལ་	གསལ་	VERB
གཞོན་ནུ་	གཞོན་ནུ་	ADJ
བུམ་སྐུ་	བུམ་སྐུ་	NO_POS
རུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
།		PUNCT
		
།		PUNCT
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
དེ་	སྟེ་	PART
མཁྱེན་	མཁྱེན་	VERB
ནོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
འི་	གི་	PART
གདིང་	གདིང་	NO_POS
ཆེན་	ཆེན་	NO_POS
ཐོབ་པ་	ཐོབ་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རང་	རང་	PRON
རློབས་	རློབས་	VERB
ཤིག་	ཅིག་	PART
		
།		PUNCT
རང་བཞིན་	རང་བཞིན་	NOUN
མ་	མ་	PART
འགག་	འགག་	VERB
ས་	གིས་	PART
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
འོད་གསལ་	འོད་གསལ་	NOUN
གྱི་	གི་	PART
ཚོམ་བུ་	ཚོམ་བུ་	OTHER
།		PUNCT
		
།		PUNCT
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ངེས་པ་	ངེས་པ་	VERB
ལྔ་ལྡན་	ལྔ་ལྡན་	OTHER
རོལ་པ་	རོལ་པ་	VERB
རུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
།		PUNCT
		
།		PUNCT
ལོངས་སྐུ་	ལོངས་སྐུ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
དེ་	སྟེ་	PART
མཁྱེན་	མཁྱེན་	VERB
ནོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
འི་	གི་	PART
རྩལ་	རྩལ་	NOUN
ཆེན་	ཆེན་	NO_POS
རྫོགས་པ་	རྫོགས་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རང་	རང་	PRON
རློབས་	རློབས་	VERB
ཤིག་	ཅིག་	PART
		
།		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ཕྱོགས་ལྷུང་	ཕྱོགས་ལྷུང་	NOUN
བྲལ་བ་	བྲལ་བ་	VERB
མཐའ་གྲོལ་	མཐའ་གྲོལ་	NO_POS
གྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
།		PUNCT
		
།		PUNCT
ཀུན་ཁྱབ་	ཀུན་ཁྱབ་	OTHER
རིག་	རིག་	VERB
སྟོང་	སྟོང་	NUM
རྗེན་པ་	རྗེན་པ་	NO_POS
འི་	གི་	PART
ངོ་བོ་	ངོ་བོ་	NOUN
རུ་	ལ་	PART
བཞུགས་པ་	བཞུགས་པ་	VERB
།		PUNCT
		
།		PUNCT
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
འགྲོ་	འགྲོ་	VERB
འདུལ་	འདུལ་	NO_POS
གླིང་པ་	གླིང་པ་	NOUN
དེ་	སྟེ་	PART
མཁྱེན་	མཁྱེན་	VERB
ནོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འི་	གི་	PART
བོགས་	བོགས་	NOUN
ཆེན་	ཆེན་	NO_POS
འབྱོངས་པ་	འབྱོངས་པ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱིས་	གིས་	PART
རང་	རང་	PRON
རློབས་	རློབས་	VERB
ཤིག་	ཅིག་	PART
		
།		PUNCT
རང་རིག་	རང་རིག་	NO_POS
གདོད་མ་	གདོད་མ་	OTHER
འི་	གི་	PART
གཞི་	གཞི་	NOUN
ལ་	ལ་	PART
འཕོ་འགྱུར་	འཕོ་འགྱུར་	NOUN
ནི་	ནི་	NO_POS
མི་	མི་	PART
འདུག་	འདུག་	VERB
		
།		PUNCT
གང་	གང་	NO_POS
ཤ་	ཤ་	VERB
ཆོས་སྐུ་	ཆོས་སྐུ་	NOUN
འི་	གི་	PART
རྩལ་	རྩལ་	NOUN
ལ་	ལ་	PART
བཟང་ངན་	བཟང་ངན་	ADJ
ནི་	ནི་	NO_POS
མི་	མི་	PART
གདའ་	གདའ་	VERB
།		PUNCT
		
།		PUNCT
ད་ལྟ་	ད་ལྟ་	OTHER
འི་	གི་	PART
ཤེས་པ་	ཤེས་པ་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མངོན་སུམ་	མངོན་སུམ་	NOUN
དུ་	ལ་	PART
འདུག་པ་	འདུག་པ་	VERB
ས་	གིས་	PART
།		PUNCT
		
།		PUNCT
གུ་	གུ་	OTHER
ཡངས་	ཡངས་	VERB
བློ་	བློ་	NOUN
བདེ་	བདེ་	VERB
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
སྙིང་	སྙིང་	NOUN
དབུ་	དབུ་	NOUN
ན་	ནས་	PART
རྙེད་	རྙེད་	VERB
བྱུང་	བྱུང་	VERB
།		PUNCT
		
།		PUNCT
གཉུག་	གཉུག་	NO_POS
མ་	མ་	PART
འི་	གི་	PART
སེམས་	སེམས་	NOUN
འདི་	འདི་	DET
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རང་བཞིན་	རང་བཞིན་	NOUN
དུ་	ལ་	PART
རྟོགས་	རྟོགས་	VERB
ཚེ་	ཚེ་	NOUN
།		PUNCT
		
།		PUNCT
འཛིན་	འཛིན་	VERB
ཞེན་	ཞེན་	VERB
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བཅོས་མ་	བཅོས་མ་	NOUN
འི་	གི་	PART
སྡུག་ཡུས་	སྡུག་ཡུས་	NO_POS
ནི་	ནི་	NO_POS
མ་	མ་	PART
དགོས་	དགོས་	VERB
