form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
བླ་མ་	བླ་མ་	NOUN
དམ་པ་	དམ་པ་	VERB
རིག་འཛིན་	རིག་འཛིན་	OTHER
ཉི་མ་	ཉི་མ་	NOUN
མཆོག་	མཆོག་	ADJ
ལ་	ལ་	PART
གཡུ་	གཡུ་	NOUN
ཁོག་	ཁོག་	VERB
བྱ་བྲལ་	བྱ་བྲལ་	PROPN
བ་	བ་	ADP
འདའ་	འདའ་	VERB
རྗེས་སུ་	རྗེས་སུ་	OTHER
བབ་པ་	བབ་པ་	VERB
།		PUNCT
རིག་པ་	རིག་པ་	VERB
འགྱུར་མེད་	འགྱུར་མེད་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལ་	ལ་	PART
ན་མོ་	ན་མོ་	X
༔		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ལ་	ལ་	PART
༔		PUNCT
སྒོམ་པ་	སྒོམ་པ་	VERB
ཕྱོགས་ལྷུང་	ཕྱོགས་ལྷུང་	NOUN
བྲལ་བ་	བྲལ་བ་	VERB
ར་	ལ་	PART
ཞོག་	ཞོག་	VERB
༔		PUNCT
སྤྱོད་པ་	སྤྱོད་པ་	VERB
གཉིས་	གཉིས་	NUM
འཛིན་	འཛིན་	VERB
འཁྲུལ་བ་	འཁྲུལ་བ་	VERB
ཞིག་	ཅིག་	PART
༔		PUNCT
འབྲས་བུ་	འབྲས་བུ་	NOUN
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
ཡེ་རྫོགས་	ཡེ་རྫོགས་	NO_POS
ལ་	ལ་	PART
༔		PUNCT
དམ་ཚིག་	དམ་ཚིག་	NOUN
སྤང་བླང་	སྤང་བླང་	NOUN
ཡུལ་	ཡུལ་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
འདའ་	འདའ་	VERB
༔		PUNCT
རིག་པ་	རིག་པ་	VERB
གཅེ་	གཅེ་	NO_POS
ར་	ལ་	PART
མཐོང་	མཐོང་	VERB
གི་	གི་	PART
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
༔		PUNCT
ལྟ་	ལྟ་	NOUN
སྒོམ་	སྒོམ་	VERB
སྤྱོད་	སྤྱོད་	VERB
འབྲས་	འབྲས་	NOUN
ཀྱི་	གི་	PART
དམ་ཚིག་	དམ་ཚིག་	NOUN
གི་	གི་	PART
རྒྱ་	རྒྱ་	VERB
བཅས་པ་	བཅས་པ་	VERB
༔		PUNCT
གཡུ་	གཡུ་	NOUN
ཁོག་	ཁོག་	VERB
བླ་མ་	བླ་མ་	NOUN
ཆོས་དབྱིངས་	ཆོས་དབྱིངས་	NOUN
རང་གྲོལ་	རང་གྲོལ་	NOUN
གྱིས་	གིས་	PART
འདའ་	འདའ་	VERB
རྗེས་སུ་	རྗེས་སུ་	OTHER
གསུངས་པ་	གསུངས་པ་	VERB
སཱུརྱའི་		NON_WORD
མིང་	མིང་	NOUN
གིས་	གིས་	PART
སོ་	གོ་	PART
༔		PUNCT
